! This file was created with the following query parameters:
! dois:*
! document_type:article
! arxiv_eprints.categories:hep-ph
2001 2541
2002 2502
2003 2271
2004 2459
2005 2344
2006 2424
2007 2440
2008 2730
2009 2785
2010 2809
2011 3119
2012 3426
2013 4009
2014 4740
2015 4778
2016 5014
2017 4711
2018 4989
2019 5266
2020 5673
2021 4466
