! This file was created with the following query parameters:
! dois:*
! document_type:article
! arxiv_eprints.categories:hep-ph
! ac > 10
2001 3
2002 8
2003 7
2004 6
2005 10
2006 8
2007 11
2008 16
2009 9
2010 12
2011 14
2012 17
2013 34
2014 61
2015 61
2016 78
2017 86
2018 80
2019 92
2020 121
2021 91
