! This file was created with the following query parameters:
! dois:*
! document_type:article
! arxiv_eprints.categories:hep-ex
! collaborations.value:atlas
2001 0
2002 1
2003 0
2004 0
2005 0
2006 0
2007 1
2008 1
2009 0
2010 5
2011 55
2012 126
2013 77
2014 84
2015 109
2016 124
2017 90
2018 111
2019 92
2020 78
2021 55
